other_description,action
CONTINUED FOOT PURSUIT,Other description
CONTINUED PURSUIT,Other description
CONTINUED TO CHASE,Other description
CONTINUED TO ESCORT SUBJECT,Other description
CONTINUED TO PURSUE OFFENDER,Other description
CONTINUED TRANSPORT.,Other description
CONTINUED UNTIL COMPLIANCE,Other description
CONTINUELY PUSHED SUBJECT AWAY,Other description
CONTOL HOLD,Other description
CONTROL  SUBJECTS LEGS,Other description
CONTROL ARM/OFFENDER,Other description
CONTROL BICYCLE,Other description
CONTROL BODY/HEAD WITH HANDS,Other description
CONTROL FORCE TACTICS,Other description
CONTROL FORCE TACTICS ,Other description
CONTROL GRASP ,Other description
CONTROL HANDS,Other description
CONTROL HOLD,Other description
CONTROL HOLD ,Other description
CONTROL HOLD HEAD,Other description
CONTROL HOLD LEGS,Other description
CONTROL HOLD OF HEAD,Other description
CONTROL HOLD OF THE HEAD,Other description
CONTROL HOLD ON LEGS,Other description
CONTROL HOLD TO KEEP FROM SPIT,Other description
CONTROL HOLD USING BODY WEIGHT,Other description
CONTROL HOLD/BEAR HUG,Other description
CONTROL HOLDS,Other description
CONTROL HOLDS ON ARMS/HANDS,Other description
CONTROL IN CONFINED SPACE,Other description
CONTROL LEGS,Other description
CONTROL LEGS ,Other description
CONTROL MOVEMENT BY ASSAILANT,Other description
CONTROL OF ARM,Other description
CONTROL OF ARM WITH HAND GRIP,Other description
CONTROL OFFENDER DELIV. MECHAN,Other description
CONTROL OFFENDERS LEGS,Other description
CONTROL SUBJECT'S HEAD,Other description
CONTROL SUBJECTS ARM,Other description
CONTROL TACTICS,Other description
CONTROL TECHNIQUE,Other description
CONTROL TECHNIQUES,Other description
CONTROL/ESCORT TACTICS,Other description
CONTROL/HELD RIGHT LEG,Other description
CONTROLED ARMS ,Other description
CONTROLED FEET&CLOSED VEH DOOR,Other description
CONTROLL HEAD PREVENT SPIT,Other description
CONTROLLED ARMS LEGS,Other description
CONTROLLED BOTH SUBJECTS ARMS,Other description
CONTROLLED FEET,Other description
CONTROLLED HANDS,Other description
CONTROLLED HEAD,Other description
CONTROLLED HEAD TO AVOID SPIT,Other description
CONTROLLED HIS HEAD AND FACE,Other description
CONTROLLED HIS LEGS,Other description
CONTROLLED HOLDS,Other description
CONTROLLED LEGS,Other description
CONTROLLED LEGS AND ARMS,Other description
CONTROLLED MOVEMNT WITH OPEN ,Other description
CONTROLLED OFF'S LEGS ,Other description
CONTROLLED OFFENDER'S FEET,Other description
CONTROLLED OFFENDER'S LEGS,Other description
CONTROLLED OFFENDERS LEFT LEG ,Other description
CONTROLLED OFFENDERS LEGS,Other description
CONTROLLED SUBJ BY HIS SHIRT,Other description
CONTROLLED SUBJ. BY HIS SHIRT,Other description
CONTROLLED SUBJ'S ARMS,Other description
CONTROLLED SUBJECT WITH HANDS,Other description
CONTROLLED SUBJECTS ARMS,Other description
CONTROLLED SUBJECTS HEAD,Other description
CONTROLLED SUBJECTS LEGS,Other description
CONTROLLED UPPER BODY WITH LEG,Other description
CONTROLLED WITH STRONGHOLD,Other description
CONTROLLING SUBJECT ARM,Other description
CONTROLLING/STEERING HOLD,Other description
CONTROLLS SUBJECT,Other description
COVERED MOUTH W/ HAND,Other description
CPD APPROVED FLASH LIGHT,Other description
CPD RADIO,Other description
CREATE DISTANCE,Member presence
"CREATE DISTANCE, GAIN CONTROL",Member presence
CREATED DISTANCE,Member presence
CREATED DISTANCE FROM OFFENDER,Member presence
CREATED DISTANCE/SHEILDING,Member presence
CREATED DISTANCE/SHEILDING ,Member presence
CREATED FULCRUM AT NECK + ARM ,Member presence
CROSS CHEST PUSH,Other description
CROSS LEG HOLD,Other description
CROSSED HELD DOWN LEGS,Other description
CROSSED LEGS,Other description
CUSTODY W/O INCIDENT,Other description
CUSTODY W/OUT INCIDENT,Other description
CUSTODY W/OUT INCIDET,Other description
CUT NOOSE FROM NECK,Other description
D/A USEDHANDS TO GRAB SUBJECT,Other description
DA USED HANDS TO GRAB SUBJECT,Other description
DEADLY FORCE,Firearm
DEFEATED ATTEMPT DISARMENT,Other description
DEFEATED GRASP ON TESTICALS,Other description
DEFEATED RESISTER'S ACTIONS,Other description
DEFENED HIMSELF,Other description
DEFENSE OF OTHERS,Other description
DEFENSE OF PARTNER,Other description
DEFENSIVE FOREARM STRIKES,Other description
DEFENSIVE MOVE BY R/O ,Other description
DEFENSIVE POSITION TAKEN BY PO,Other description
DEFENSIVE POSTURE /PURSUIT,Other description
DEFENSIVE POSTURE/COVER/PROTEC,Other description
DEFENSIVE PUSH,Other description
DEFENSIVE PUSH BACK,Other description
DEFENSIVE STANCE,Other description
DEFENSIVE STRIKE,Other description
DEFENSIVE TACTICS,Other description
DEFLECTED HER ADVANCEMENT,Other description
DEFLECTED OFFENDER'S HAND,Other description
DEFLECTED TO SUBJECT TO THE GR,Other description
DEFLECTING BLOW,Other description
DEFLECTIVE TECHNIQUE,Other description
DELFLECTED OFFENDERS ARMS,Other description
DEPARTMENT  UNMARKED VEHICLE,Other description
DEPOLY BUT DIDN'T USE,Other description
DEPT APPROVED FLASH LIGHT,Other description
DEPT ISSUED BATTON,Other description
DEPT. RADIO,Other description
DESCRIBED BELOW,Other description
DESTRUCTION OF ANIMAL (DOG),Other description
DETAIN,Other description
DETAINED,Other description
DETAINED OFFENDER,Other description
DETAINED SUBJECT,Other description
DETAINED UNTIL AO'S ARRIVAL,Other description
DETAINED UNTIL ARRIVAL OF ASSI,Other description
DETAINED&SUBDUE W/HOLD CONTROL,Other description
DIALED 911,Verbal direction/control techniques
DID NOT DEPLOY PROBE,Taser
DID NOT GO TO THE GROUND,Other description
DID NOT MAKE  CONTACT,Other description
DID NOT PENETRATE SKIN,Taser
DIFFUSED STRIKE  TO THIGH,Other description
DIRECT BODY MECHANICS,Other description
DIRECT BODY MECHANICS CONTROL,Other description
DIRECT MECH STRIKE ,Other description
DIRECT MECHANICAL STRIKES,Other description
DIRECT MECHANICS ,Other description
DIRECT MECHANNICAL STRIKES,Other description
DIRECTED FACE AND HEAD AWAY   ,Other description
DIRECTED MOVEMENT,Other description
DIRECTED SUBJECTS FACE AWAY,Other description
DISARMED OFFENDER,Other description
DISARMED OFFENDER ,Other description
DISARMED OFFENDER OF KNIFE,Other description
DISARMED SUBJECT,Other description
DISARMED SUBJECT OF WRENCH,Other description
DISCHARGE OF SERVICE WEAPON,Firearm
DISCHARGED MY WEAPON,Firearm
DISCHARGED O/C AFTER 3 WARNING,Firearm
DISCHARGED SERVICE WEAPON,Firearm
DISCHARGED TWICE,Firearm
DISCHARGED WEAPON,Firearm
DISCHARGED WEAPON ,Firearm
DISCHARGED WEAPON AT DOG,Firearm
DISCHARGED WEAPON AT OFFENDER,Firearm
DISCHARGED WEAPON ONE TIME,Firearm
DISENGAGED AND PULLED AWAY,Other description
DISINFECTED FACE,Other description
DISPALYED WEAPON,Other description
DISPLAY OF DUTY WEAPON,Other description
DISPLAY OF DUTY WEAPON  ,Other description
DISPLAY OF WEAPON,Other description
DISPLAY OF WEAPON/STAR,Other description
DISPLAY WEAPON,Other description
DISPLAYED,Other description
DISPLAYED  SECONDARY WEAPON,Other description
DISPLAYED CPD ID AND STAR,Other description
DISPLAYED DUTY WEAPON,Other description
DISPLAYED DUTY WEAPON ,Other description
DISPLAYED DUTY WEAPON DOWNWARD,Other description
DISPLAYED NOT USED,Other description
DISPLAYED P.O.'S WEAPON,Other description
DISPLAYED SERVICE WEAPON,Other description
DISPLAYED SIDEARM,Other description
DISPLAYED SIDEARM TO OFF.,Other description
DISPLAYED STAR,Other description
DISPLAYED WEAPON,Other description
DISPLAYED WEAPON ,Other description
DISPLAYED WEAPON/ORDERED STOP,Verbal direction/control techniques
DISPLY WEAPON AVOID VEHICLE,Other description
DISTANCE,Member presence
DISTANCE ,Member presence
DISTANCE & SHIELDING,Member presence
"DISTANCE, R/O'S BACKED AWAY",Member presence
DISTANCED FROM OFFENDER ,Member presence
DIVE OUT OF THE WAY,Member presence
DNA,Other description
DNA ACCIDENTAL DISCHARGED,Other description
DODGE SPEEDING CAR,Other description
DODGE THE ONCOMING VEHICLE,Other description
DOES NOT APPLY,Other description
DOUBLE ARM RESTRAINT,Other description
DOULBE ARM BODY HOLD BEAR HUG ,Other description
DOVE AWAY FROM VEHICLE,Other description
DOVE FROM PATH OF VEHICLE,Other description
DRAG ARRESTEE OUT OF APARTMENT,Other description
DRAGGED,Other description
DRAGGED / CARRIED ,Other description
DRAGGED HIM FROM A WOODED AREA,Other description
DRAGGED OFF FROM BEHIND BUSHES,Other description
DRAGGING/CARRYING,Other description
DRAW WEAPON,Other description
DRAWING WEAPON,Other description
DRAWN WEAPON,Other description
DREW DUTY WEAPON,Other description
DREW HIS WEAPON,Other description
DREW HIS WEAPON ,Other description
DREW MY WEAPON,Other description
DREW SERVICE WEAPON,Other description
DREW SIDEARM,Other description
DREW WEAPON,Other description
DREW WEAPON ,Other description
DREW WEAPON (9MM) ON  SUBJECT,Other description
DREW WEAPON AND TOOK COVER,Other description
DREW WEAPON AT OFFENDER.,Other description
DREW WEAPON FOR PROTECTION,Other description
DREW WEAPON FROM HOLSTER,Other description
DREW WEAPON ON SUBJECT,Other description
DRIVE AWAY,Other description
DROVE FORWARD,Other description
DROVE OFFENDER INTO WALL,Other description
DROVE SQUAD CAR S/B,Other description
DUCKED AND RESTRAINED,Other description
DUCKED OUT OF WAY,Other description
DUCKED TO AVOID CONTACT,Other description
"DUTY PANTS,DUTY BELT DISPLAYED",Other description
DUTY RADIO,Other description
DUTY WEAPON DRAWN,Other description
DUTY WEAPON POINTED AT SUBJECT,Other description
ECORT HOLDS,Other description
EFFECTED ARREST,Other description
EMER.HANDCF/HELD AGAINST CAR,Other description
EMERGENCY EQUIPMENT,Other description
EMERGENCY EQUIPMENT ACTIVATED,Other description
EMERGENCY HANDUFFING,Other description
EMERGENCY LEG SHACKLES,Other description
EMERGENCY LIGHTS,Other description
EMERGENCY LIGHTS ,Other description
EMERGENCY SHACKLING OF LEGS,Other description
EMERGENCY VEH. APPARATUS ON ,Other description
EMERGENCY VEHICLE EXTRACTION,Other description
EMERGENCY WEAPON RETENTION,Other description
EMERGENGY VEHICLE EXTRACTION ,Other description
ENERGENCY TAKEDWON,Other description
ENGAGED IN FIGHT,Other description
ENTRY TEAM FORMED,Member presence
ENTRY TEAM FORMED ,Member presence
ESCORT,Member presence
ESCORT ,Member presence
ESCORT ARRESTEE TO SQUADROL,Member presence
ESCORT CARRY,Member presence
ESCORT CARRY ,Member presence
ESCORT CONTINUED,Member presence
ESCORT/ASSIST OFF BUS,Member presence
ESCORTED BACK TO CELL,Member presence
ESCORTED DOWN STAIRS,Member presence
ESCORTED INTO CELL,Member presence
ESCORTED INTO CELL #11,Member presence
ESCORTED INTO PATROL VEHICLE,Member presence
ESCORTED INTO POLICE VEHICLE,Member presence
ESCORTED INTO SECURED ROOM,Member presence
ESCORTED INTO WAGON,Member presence
ESCORTED OFF FROM FRONT DOOR,Member presence
ESCORTED OFFENDER IN CELL,Member presence
ESCORTED OFFENDER TO ER BED,Member presence
ESCORTED OUT BY ARM/BACKPACK,Member presence
ESCORTED SUBJECT IN SQUAD CAR,Member presence
ESCORTED SUBJECT INTO CELL,Member presence
ESCORTED SUBJECT INTO VEHICLE,Member presence
ESCORTED SUBJECT TO VEHICLE,Member presence
ESCORTED TO CELL,Member presence
ESCORTED TO HOLDING CELL,Member presence
ESCORTED TO POLICE VEHICLE,Member presence
ESCORTED TO POLICE VEHILCE,Member presence
ESCORTED TO SECURE BULLPEN,Member presence
ESCORTED TO SEPERATE SQUAD CAR,Member presence
ESCORTED TO SQUAD ROLL,Member presence
ESCORTED TO TRANSPORT VEHICLE.,Member presence
ESCORTED TO WAGON,Member presence
ESCORTED TO WAGON ,Member presence
ESCORTING,Member presence
ESCORTING TO VEHICLE,Member presence
ESORT HOLD,escort
ESTABLISHED GREATER DISTANCE,Other description
EVADE,Other description
EVADE AND TAKE COVER,Other description
EVADED ASSAULT & EFFECTED ARRE,Other description
EVADED MOVING VEHICLE,Other description
EVADED OFFENDER'S VEHICLE,Other description
EVADED SUBJECT'S SPIT,Other description
EVADED VEHICLE STRIKE ,Other description
EVASION,Other description
EVASIVE ACTION,Other description
EVASIVE DRIVING & ROUTE CHANGE,Other description
EVASIVE MANEUVERING,Other description
EVASIVE MANEUVERS,Other description
EVASIVE MOVES/FOOT PURSUIT,Other description
EVASIVE TECHNICAL DRIVING,Other description
EVASSIVE MOVES,Other description
EXITED PATH OF ON-COMING SUCJE,Other description
EXITED PATH OF ON-COMING VEH.,Other description
EXPANDABLE BATTON,Baton
EXSCORTED SUBJECT TO CELL,Other description
EXTENDED ARM ,Other description
EXTENDED ARM PUSH,Other description
EXTENDED ARM TO CREATE DISTANC,Other description
EXTENDED ARM TO KEEP OFF. AWAY,Other description
EXTENDED ARM TO MOVE SUBJ AWAY,Other description
EXTRACTED HER FROM THE VEHICLE,Other description
EXTRACTED OFFENDER FROM CLOSET,Other description
EXTRACTED THROUGH WINDOW,Other description
EXTRICATED OFFENDER FROM CAR,Other description
EYE GOUGE,Other description
FACED OFFENDER AWAY FROM AO,Other description
FAIL TO MAKE CONTACT,Other description
FEAR OF RECEIVING A BATTERY,Other description
FEET ,Other description
FEET SWEEP,Other description
FEL L TO GROUND,Other description
FELL,Other description
FELL AND ROLLED ON GROUND,Other description
FELL DOWN/HITTING HEAD ON RACK,Other description
FELL DURING PURSUIT,Other description
FELL ON TOP OF ASSAILANT,Other description
FELL TO GROUND,Other description
FELL TO THE GROUND,Other description
FELL TO THE GROUND IN PAIN,Other description
FINGER GOUGE TO RIBCAGE,Other description
FIRM CONTROL HOLD ON ARM,Other description
FIRM CONTROL HOLDS,Other description
FIRM GRASP OF OFFNS ARM,Other description
FIRM GRIP,Other description
FIRM GRIP BOTH ARMS,Other description
FIRM GRIP HOLD,Other description
FIRM GRIP HOLD OF HAIR,Other description
FIRM GRIP ON RIGHT ARM ,Other description
FIRM GRIP ON SHOULDERS,Other description
FIRM GRIPHOLD ON HAIR,Other description
FIRM GRIPP ON LEFT ARM,Other description
FIRM HAND,Other description
FIRM HOLD ON OFF'S FREE ARM,Other description
FIRM HOLD OUTER GARMENT,Other description
FIRM HOLD TO REMOVE RING,Other description
FIRM HOLDS,Other description
FLAGGED DOWN PASSING POLICE  ,Other description
FLAGGED DOWN PRESENT UNIT 185A,Other description
FLAILED ARMS,Other description
FLAILED LEFT ARM ,Other description
FLASH LIGHT,Other description
FLASH MESSAGE ,Other description
FLASH MESSAGE SENT,Other description
FLASHLIGHT,Other description
FLASHLIGHT TO UPPER CHEST,Other description
FLASHLIGHT(POLY-STINGER),Other description
FLED,Other description
FLED AFTER OFFENDER,Other description
FLED P.O. UN ARMED ,Other description
FLED WITH VEHICLE,Other description
"FLIPPED SUBJECT OVER BACK, ",Other description
FOLLOW IN SQUAD CAR,Member presence
FOLLOW/ CALLED FOR ASSISTANCE ,Member presence
FOLLOWED,Member presence
FOLLOWED &HELD ON,Member presence
FOLLOWED IN MARKED SQUAD,Member presence
FOLLOWED IN VEH.,Member presence
FOLLOWED ON FOOT,Member presence
FOLLOWED VEHICLE,Member presence
FOLLWED ON FOOT ,Member presence
FOOT CHASE,Other description
FOOT CHASE ENSUED,Other description
FOOT ON LEFT LEG ,Other description
FOOT ON SUBJECT FOR CONTROL,Other description
FOOT ON THE DOOR,Other description
FOOT PURSUIT,Other description
FOOT PURSUIT ,Other description
FOOT PURSUIT AFTER SHOTS,Firearm
FOOT PURSUIT AND DETAINED OFF.,Other description
FOOT PURSUIT OF THE ASSAILANT,Other description
FOOT PURSUIT TO ASSAILANT,Other description
FOOT PURSUIT-DETAINED OFF.,Other description
FOOT PURSUIT.,Other description
FOOT PURSUIT/FLASH MESSAGE,Other description
FOOT SWEEP,Other description
FOOT TRIP,Other description
FOOTCHASE,Other description
FOOTPURSUIT,Other description
"FOR OFFICER,PARAMEDIC SAFETY",Other description
FORCE HANDS BEHIND HER BACK,Other description
FORCE HANDS TOGETHER,Other description
FORCE NEC. EFFECT ARREST,Other description
FORCE NOT USED,Other description
FORCE TO PLACE INTO SQUAD CAR,Other description
FORCE USED ON VEHICLE WINDOW,Other description
FORCEBLY PICKED UP AND DRAGGED,Other description
FORCED AGAINST A WALL,Other description
FORCED AGAINST WALL,Other description
FORCED ARM BEHIND HIS BACK,Other description
FORCED ARMS BEHIND BACK,Other description
FORCED ARMS BEHIND BACK ,Other description
FORCED ARMS BEHIND HER BACK,Other description
FORCED ASSAILANT AGAINST WALL ,Other description
FORCED DOOR,Other description
FORCED DOOR OPEN,Other description
FORCED DOOR OPEN WITH SHOULDER,Other description
FORCED DOOR OPENED,Other description
FORCED ENTRY,Other description
FORCED ENTRY AND ARREST,Other description
FORCED ENTRY INTO HOUSE,Other description
FORCED ENTRY TO BEDROOM,Other description
"FORCED ENTRY, FRONT DOOR",Other description
FORCED HANDS BEHIND BACK,Other description
FORCED HANDS BEHIND BACK ,Other description
FORCED HIS FEET INTO CAR,Other description
FORCED INTO SQUAD CAR,Other description
FORCED INTO WAGON,Other description
FORCED LEGS/TORSO INTO VEHICLE,Other description
FORCED OFFENDER INTO SQUAD,Other description
FORCED OFFENDER TO THE FLOOR,Other description
FORCED OFFENDER TO THE GROUND,Take down
FORCED ONTO HOOD OF SQUAD,Other description
FORCED OPEN DOOR WITH SHOULDER,Other description
FORCED R/O BACKWARD STRIKING,Other description
FORCED SUBJECT INTO CAR,Other description
FORCED SUBJECT INTO POLICE CAR,Other description
FORCED SUBJECT INTO SQUAD CAR,Other description
FORCED SUBJECT INTO WAGON,Other description
FORCED SUBJECT TO GROUND,Take down
FORCED SUBJECT TO THE GROUND,Take down
FORCEFULLY GRABBED,Other description
FORCIBLY EXTRICATED FROM SQUAD,Other description
FORCIBLY PLACE ARRESTEE ON BED,Other description
FORCIBLY PLACED IN SQUAD CAR,Other description
FORCIBLY PLACED OFF. IN CAR,Other description
FORCIBLY PLACED SUBJECT IN VEH,Other description
FORCIBLY PLACED SUJECT IN VEH ,Other description
FORCIBLY PUSH SUBJECT INTO VEH,Other description
FORCIBLY REMOVED FROM VEHICLE,Other description
FORCIBLY REMOVED KEYS,Other description
FORCIBLY REMOVED SUBJECT ,Other description
FORCIBLY RESTRAINED TORSO,Other description
FORCIBLY RESTRAINED TORSO ,Other description
FORCIBLY SUBDUED OFFENDER,Other description
FORCILBLY TAKEN TO THE GROUND,Take down
FOREARM CONTROL ,Other description
FOREARM ON SHOULDER BLADE,Other description
FOREARM PRESSED TO SIDE HEAD,Other description
FOREARM PUSH,Other description
FOREARM SHOVE,Other description
FOREARM SHOVE TO BACK,Other description
FOREARM STRIKE,Elbow strike
FOREARM STRIKE TO CHEST,Elbow strike
FOREARM TO CHEST,Other description
FOREARM TO HEAD,Other description
FOREARM TO LOWER PART OF NECK,Other description
FOREARM TO THE CHEST,Other description
FOREARM USED AS LEVERAGE,Other description
FOREARM/HANDS TO CONTROL ,Other description
FORWARD COLLAR THROW,Other description
FORWARD PUSH INTO CELL,Other description
FORWARD THROW,Other description
FOUGHT BEING PUT IN SQUAD CAR,Other description
FOUGHT TO GAIN CONTROL OF WEAP,Other description
FOUGHT WITH SUBJECT ON GROUND,Take down
FOUR TRIGGER PULLS,Firearm
FOWARD PUSH INTO CELL,Other description
FULL NELSON HOLD,Other description
GAIN CONTROL,Other description
GAINED CONTROL OF ARMS,Other description
GAINED CONTROL OF ARMS ,Other description
GAINED CONTROL OF LEFT LEG,Other description
GAINED CONTROL OF SUBJECT,Other description
GAINED PHYSICAL CONTROL REMOVE,Other description
GAVE CHASE,Other description
GAVE CHASE ,Other description
GAVE CHASE ON FOOT,Other description
GAVE CHASE UNTIL SURRENDER,Other description
GAVE DIRECTION OF FLIGHT ON RA,Other description
GAVE FLASH OF OFDR.,Other description
GAVE FOOT CHASE,Other description
GAVE PERSUIT,Other description
GAVE PURSUIT,Other description
GAVE VEHICLE CHASE,Other description
GET OUT OF THE WAY,Other description
GET OUT OF WAY,Other description
GETTING IN BETWEEN OFFENDERS.,Other description
GORCED ARMS BEHIND HER BACK,Other description
GOT ASIST FROM CPD OFFICERS,Other description
GOT OUT OF VEHICLES PATH,Other description
GOT OUT OF WAY,Other description
GOT OUT THE PATH OF THE VEHICL,Other description
GOT SHIELDING WHEN VEH CURBED.,Other description
GRAB & RESTRAIN AGAINST CAR,Other description
GRAB AND HOLD OFFENDER,Other description
GRAB AND MOVE HAND OF SUBJECT,Other description
GRAB AND PUSHED OFFENDER,Other description
GRAB AND WRESTLE,Other description
GRAB ARM,Other description
GRAB ARM AND TWISTED HER AWAY,Other description
GRAB ARM FOR CONTROL,Other description
GRAB AT OFFENDERS WAISTBAND,Other description
GRAB BODY AND  ARMS,Other description
GRAB BY ARM TO PREVENT ESCAPE,Other description
GRAB DETAINEE'S FEET ,Other description
GRAB FOR OFFENDERS ARM,Other description
GRAB HEAD & HAIR CARRY,Other description
GRAB HOLD  AND RESTRAIN,Other description
GRAB HOLD OF SUBJ W/BOTH HANDS,Other description
GRAB HOLD OF SUBJECT,Other description
GRAB HOLDS,Other description
GRAB HOLDS TO REAR TRUNK LID,Other description
GRAB OFFENDER FELL TO GROUND,Take down
GRAB OFFENDER WITH HAND,Other description
GRAB OFFENDER'S ARM & LEGS,Other description
GRAB OFFENDER'S ARMS & LEGS,Other description
GRAB SUBJECT TO PREVENT ESCAPE,Other description
GRAB SUBJECT'S ARM,Other description
GRAB SUBJECTS ARM,Other description
GRAB TO CONTROL SUBJECT,Other description
GRAB TO GAIN CONTROL OF OFFEND,Other description
GRAB UPPER CHEST AREA,Other description
"GRAB, ATTEMPT TO RESTRAIN",Other description
"GRAB, PUSH OFFENDER AWAY",Other description
GRAB/PUSH OFFENDER,Other description
GRABBED,Other description
GRABBED &HELD ON SHIRT,Other description
GRABBED AND ATTEMPTED TO HOLD,Other description
GRABBED AND HELD,Other description
GRABBED AND HELD BACK OF SHIRT,Other description
GRABBED AND HELD LEGS,Other description
GRABBED AND HELD OFFENDER,Other description
GRABBED AND HELD SUBJECT'S LEG,Other description
GRABBED AND HELD THE OFFENDER,Other description
GRABBED AND HELD TO ARREST,Other description
GRABBED AND PULL AT ARMS,Other description
GRABBED AND PULLED ,Other description
GRABBED AND PULLED AT ARMS,Other description
GRABBED AND TOOK TO GROUND,Take down
GRABBED AND WAS TAKEN TO GROUN,Take down
GRABBED ANKLE,Other description
GRABBED ANKLES,Other description
GRABBED ARM,Other description
GRABBED ARM ,Other description
GRABBED ARM AND CLOTHING,Other description
GRABBED ARM AND ESCORTED ,Other description
GRABBED ARM AND HAND,Other description
GRABBED ARM AND PULLED SUBJ IN,Other description
GRABBED ARM AND UPPER SHOULDER,Other description
GRABBED ARM FOR COMPLIANCE,Other description
GRABBED ARM PUSHED OFF. BKWARD,Other description
"GRABBED ARM PUT BEHING BACK, ",Other description
GRABBED ARM TO GAIN CONTROL,Other description
GRABBED ARM TO REGAIN CONTROL,Other description
GRABBED ARM TO REMOVE FROM CAR,Other description
"GRABBED ARM, PULLED FROM CAR",Other description
GRABBED ARM/ HELP DETAIN,Other description
GRABBED ARM/SUBJECT TO ESCORT ,Other description
GRABBED ARMS,Other description
GRABBED ARMS  TURNED HER OVER ,Other description
GRABBED ARMS AND LEGS ,Other description
GRABBED ARMS OF OFFENDER,Other description
GRABBED AROUND CHEST AREA,Other description
GRABBED AROUND COLLER/SHIRT,Other description
GRABBED AROUND THE COLLAR,Other description
GRABBED ARRESTEE,Other description
GRABBED ARRESTEE ,Other description
GRABBED AT BACK JACKET/PURSUED,Other description
GRABBED AT OFFENDERS ARMS ,Other description
GRABBED BY ARMS AND PULLED FR,Other description
GRABBED BY COAT AND PULLED HIM,Other description
GRABBED BY SHIRT COLLAR ,Other description
GRABBED BY SHIRT. ,Other description
GRABBED BY SHOULDERS,Other description
GRABBED BY THE ARM AND PULLED ,Other description
GRABBED CLOTHES WHICH RIPPED,Other description
GRABBED CLOTHING,Other description
GRABBED COLLAR,Other description
GRABBED COLLAR OF OFFENDER,Other description
GRABBED COLLAR SHIRT,Other description
GRABBED FACE ,Other description
GRABBED FLEEING OFFENDER,Other description
GRABBED FOR CONTROL,Other description
GRABBED HAIR,Other description
GRABBED HAIR TO CONTROL HEAD,Other description
GRABBED HAIR TO GAIN CONTROL,Other description
GRABBED HAIR TO PLACE IN SQUAD,Other description
GRABBED HAIR TO PREVENT FURTHE,Other description
"GRABBED HAIR,SURGICAL MASK ",Other description
GRABBED HEAD AND PUSHED AWAY,Other description
GRABBED HELD ,Other description
GRABBED HELD ON TO ARM,Other description
GRABBED HER ARM,Other description
GRABBED HER ARM TO RESTRAIN,Other description
GRABBED HER ARM TO STOP HER,Other description
GRABBED HER BY SHOULDER,Other description
GRABBED HER LEGS,Other description
"GRABBED HIM BY HEAD, PULLED ",Other description
GRABBED HIS ARM,Other description
GRABBED HIS ARMS,Other description
GRABBED HOLD OF ARM & JACKET,Other description
GRABBED HOODED SWEATSHIRT,Other description
GRABBED KNIFE FROM OFFENDER,Other description
GRABBED LEFT ARM,Other description
GRABBED LEFT ARM OF SUBJECT,Other description
GRABBED LEFT HAND,Other description
GRABBED LEG AND RESTRAINED IT,Other description
GRABBED LEG TO PLACE IN WAGON,Other description
GRABBED LEGS,Other description
GRABBED LEGS BACK INTO CAR,Other description
GRABBED LOWER RIGHT FOREARM,Other description
GRABBED OFF BY SHIRT,Other description
GRABBED OFF VIA BACK PACK,Other description
GRABBED OFF. BY THE SHOULDERS,Other description
GRABBED OFF. TO PLACE IN CUST ,Other description
GRABBED OFF'S PANT LEG,Other description
GRABBED OFFENDER,Other description
GRABBED OFFENDER ,Other description
GRABBED OFFENDER (R) ARM ,Other description
GRABBED OFFENDER AND PUSHED,Other description
GRABBED OFFENDER ARM,Other description
GRABBED OFFENDER AROUND WAIST,Other description
GRABBED OFFENDER BY ARM,Other description
GRABBED OFFENDER BY COLLAR,Other description
GRABBED OFFENDER BY JACKET,Other description
GRABBED OFFENDER BY NECK,Other description
GRABBED OFFENDER BY SHIRT,Other description
GRABBED OFFENDER BY SHIRT ,Other description
GRABBED OFFENDER BY SHOULDERS,Other description
GRABBED OFFENDER BY THE ARM,Other description
GRABBED OFFENDER BY THE COLLAR,Other description
GRABBED OFFENDER BY THE HEAD,Other description
GRABBED OFFENDER BY THE THROAT,Other description
GRABBED OFFENDER CLOTHING,Other description
GRABBED OFFENDER FEET AND ARM ,Other description
GRABBED OFFENDER FOR CONTROL,Other description
GRABBED OFFENDER FROM BEHIND,Other description
GRABBED OFFENDER FROM BEHIND.,Other description
GRABBED OFFENDER L/ARM,Other description
GRABBED OFFENDER RESTRAINING,Other description
GRABBED OFFENDER SHOULDER,Other description
GRABBED OFFENDER WITH HANDS,Other description
GRABBED OFFENDER'S ARM.,Other description
GRABBED OFFENDER'S COAT ,Other description
GRABBED OFFENDER'S HAIR,Other description
GRABBED OFFENDER'S HAND,Other description
GRABBED OFFENDER'S LEFT ARM,Other description
GRABBED OFFENDER'S LEGS,Other description
GRABBED OFFENDERS ARM,Other description
GRABBED OFFENDERS ARM ,Other description
GRABBED OFFENDERS ARM  ,Other description
GRABBED OFFENDERS ARM AND HAND,Other description
GRABBED OFFENDERS ARM W/KNIFE,Other description
GRABBED OFFENDERS ARMS,Other description
GRABBED OFFENDERS HEAD ,Other description
GRABBED OFFENDERS JACKET,Other description
GRABBED OFFENDERS LEG,Other description
GRABBED OFFENDERS LEGS ,Other description
GRABBED OFFENDERS LEGS / ARMS,Other description
GRABBED OFFENDERS LEGS AND ARM,Other description
GRABBED OFFENDERS SHIRT,Other description
GRABBED OFFENDERS SHOULDERS,Other description
GRABBED OFFENDERS UPPER BODY,Other description
